"","State","County","Civ_Labor_Force_2023","Med_Household_Income_2023","Unemployment_Rate_2023"
"1","AL","Autauga County, AL",27000,70148,2.2
"2","AL","Baldwin County, AL",104409,71704,2.3
"3","AL","Barbour County, AL",7944,41151,4.4
"4","AL","Bibb County, AL",8772,54309,2.5
"5","AL","Blount County, AL",25836,60553,2.1
"6","AL","Bullock County, AL",4500,35798,2.4
"7","AL","Butler County, AL",9009,41852,2.9
"8","AL","Calhoun County, AL",45540,52772,2.8
"9","AL","Chambers County, AL",16272,45563,2.4
"10","AL","Cherokee County, AL",11854,52613,2.4
"11","AL","Chilton County, AL",20293,61823,2.2
"12","AL","Choctaw County, AL",4221,44458,4
"13","AL","Clarke County, AL",7591,44906,5
"14","AL","Clay County, AL",5945,49599,2.4
"15","AL","Cleburne County, AL",6205,49248,2.3
"16","AL","Coffee County, AL",21781,62429,2.5
"17","AL","Colbert County, AL",24063,54593,2.9
"18","AL","Conecuh County, AL",4259,36106,3.5
"19","AL","Coosa County, AL",4549,49485,2.6
"20","AL","Covington County, AL",14872,46958,2.7
"21","AL","Crenshaw County, AL",6160,49161,2.7
"22","AL","Cullman County, AL",39773,61774,2
"23","AL","Dale County, AL",21198,50567,2.5
"24","AL","Dallas County, AL",13537,35258,5.4
"25","AL","DeKalb County, AL",31004,50037,2.3
"26","AL","Elmore County, AL",38594,71463,2.1
"27","AL","Escambia County, AL",14440,47792,3.1
"28","AL","Etowah County, AL",39430,55487,2.8
"29","AL","Fayette County, AL",6582,49205,2.9
"30","AL","Franklin County, AL",14247,49611,2.6
"31","AL","Geneva County, AL",11216,51585,2.4
"32","AL","Greene County, AL",2851,35449,4.8
"33","AL","Hale County, AL",5978,44702,3.3
"34","AL","Henry County, AL",7059,56702,2.6
"35","AL","Houston County, AL",48357,56842,2.6
"36","AL","Jackson County, AL",23482,51965,2.5
"37","AL","Jefferson County, AL",325388,61996,2.5
"38","AL","Lamar County, AL",5759,51523,2.8
"39","AL","Lauderdale County, AL",43281,59023,2.5
"40","AL","Lawrence County, AL",14920,55516,2.3
