"","State","County","Census_Pop_2020","Population_Estimate_2023","Births_2023","Deaths_2023"
"1","AL","Autauga County",58805,60342,714,621
"2","AL","Baldwin County",231767,253507,2531,2640
"3","AL","Barbour County",25223,24585,267,350
"4","AL","Bibb County",22293,21868,240,290
"5","AL","Blount County",59134,59816,698,776
"6","AL","Bullock County",10357,9897,102,133
"7","AL","Butler County",19051,18382,212,299
"8","AL","Calhoun County",116441,116429,1346,1649
"9","AL","Chambers County",34772,34079,398,511
"10","AL","Cherokee County",24971,25666,230,409
"11","AL","Chilton County",45014,46431,548,588
"12","AL","Choctaw County",12665,12252,108,200
"13","AL","Clarke County",23087,22337,293,366
"14","AL","Clay County",14236,14111,159,230
"15","AL","Cleburne County",15056,15639,177,229
"16","AL","Coffee County",53465,55643,676,630
"17","AL","Colbert County",57227,58361,636,801
"18","AL","Conecuh County",11597,11174,134,205
"19","AL","Coosa County",10387,10268,89,174
"20","AL","Covington County",37570,37952,418,653
"21","AL","Crenshaw County",13194,13101,157,225
"22","AL","Cullman County",87866,92016,1015,1146
"23","AL","Dale County",49326,49871,692,623
"24","AL","Dallas County",38462,36165,428,572
"25","AL","DeKalb County",71608,72569,835,945
"26","AL","Elmore County",87977,90441,935,942
"27","AL","Escambia County",36757,36558,428,582
"28","AL","Etowah County",103436,103241,1170,1630
"29","AL","Fayette County",16321,15967,180,276
"30","AL","Franklin County",32113,31802,430,449
"31","AL","Geneva County",26659,26988,294,451
"32","AL","Greene County",7730,7341,84,126
"33","AL","Hale County",14785,14888,213,251
"34","AL","Henry County",17146,17899,173,261
"35","AL","Houston County",107202,108462,1306,1349
"36","AL","Jackson County",52579,53467,549,841
"37","AL","Jefferson County",674721,662895,7967,7573
"38","AL","Lamar County",13972,13661,155,238
"39","AL","Lauderdale County",93564,96814,948,1183
"40","AL","Lawrence County",33073,33502,386,492
"41","AL","Lee County",174241,183215,1899,1313
"42","AL","Limestone County",103570,114654,1204,1040
"43","AL","Lowndes County",10311,9717,120,169
"44","AL","Macon County",19532,18370,162,241
"45","AL","Madison County",388153,412600,4470,3616
"46","AL","Marengo County",19323,18684,220,301
"47","AL","Marion County",29341,29244,309,441
"48","AL","Marshall County",97612,100756,1535,1256
"49","AL","Mobile County",414809,411640,5075,4765
"50","AL","Monroe County",19772,19229,231,319
"51","AL","Montgomery County",228954,224980,3003,2360
"52","AL","Morgan County",123421,125133,1461,1506
"53","AL","Perry County",8511,7738,89,141
"54","AL","Pickens County",19123,18688,186,283
"55","AL","Pike County",33009,33137,360,396
"56","AL","Randolph County",21967,22786,249,336
"57","AL","Russell County",59183,58744,688,710
"58","AL","St. Clair County",91103,95552,1032,1156
"59","AL","Shelby County",223024,233000,2390,1727
"60","AL","Sumter County",12345,11727,114,161
"61","AL","Talladega County",82149,81132,871,1147
"62","AL","Tallapoosa County",41311,40677,392,637
"63","AL","Tuscaloosa County",227036,237373,2510,2004
"64","AL","Walker County",65342,64728,808,1096
"65","AL","Washington County",15388,15022,187,229
"66","AL","Wilcox County",10600,9944,116,166
"67","AL","Winston County",23540,23611,249,388
"68","AK","Aleutians East Borough",3420,3461,17,10
"69","AK","Aleutians West Census Area",5232,5160,25,16
"70","AK","Anchorage Municipality",291247,286075,3573,2177
"71","AK","Bethel Census Area",18666,18224,389,155
"72","AK","Bristol Bay Borough",844,844,11,7
"73","AK","Chugach Census Area",7102,6769,62,24
"74","AK","Copper River Census Area",2617,2674,32,18
"75","AK","Denali Borough",1619,1584,20,9
"76","AK","Dillingham Census Area",4857,4607,75,47
"77","AK","Fairbanks North Star Borough",95655,94840,1427,606
"78","AK","Haines Borough",2080,2070,24,17
"79","AK","Hoonah-Angoon Census Area",2365,2262,18,28
"80","AK","Juneau City and Borough",32255,31555,284,214
"81","AK","Kenai Peninsula Borough",58799,61223,636,549
"82","AK","Ketchikan Gateway Borough",13948,13738,119,109
"83","AK","Kodiak Island Borough",13101,12565,158,88
"84","AK","Kusilvak Census Area",8368,8001,216,72
"85","AK","Lake and Peninsula Borough",1476,1331,16,11
"86","AK","Matanuska-Susitna Borough",107081,115239,1370,862
"87","AK","Nome Census Area",10046,9763,169,84
"88","AK","North Slope Borough",11031,10603,126,63
"89","AK","Northwest Arctic Borough",7793,7361,141,79
"90","AK","Petersburg Borough",3398,3427,25,28
"91","AK","Prince of Wales-Hyder Census Area",5753,5696,73,76
"92","AK","Sitka City and Borough",8458,8282,76,69
"93","AK","Skagway Municipality",1240,1095,9,8
"94","AK","Southeast Fairbanks Census Area",6808,7077,98,54
"95","AK","Wrangell City and Borough",2127,2064,19,24
"96","AK","Yakutat City and Borough",662,687,3,2
"97","AK","Yukon-Koyukuk Census Area",5343,5129,55,75
"98","AZ","Apache County",66021,65036,724,975
"99","AZ","Cochise County",125447,124640,1246,1612
"100","AZ","Coconino County",145101,144472,1315,1059
"101","AZ","Gila County",53272,54003,453,931
"102","AZ","Graham County",38533,39525,493,408
"103","AZ","Greenlee County",9563,9369,118,98
"104","AZ","La Paz County",16557,16710,165,376
"105","AZ","Maricopa County",4420568,4585871,50795,38287
"106","AZ","Mohave County",213267,223682,1736,3993
"107","AZ","Navajo County",106717,109175,1228,1597
"108","AZ","Pima County",1043433,1063162,10006,11276
"109","AZ","Pinal County",425264,484239,5015,4293
"110","AZ","Santa Cruz County",47669,49158,554,382
"111","AZ","Yavapai County",236209,249081,1777,3587
"112","AZ","Yuma County",203881,213221,2869,1918
"113","AR","Arkansas County",17149,16307,186,305
"114","AR","Ashley County",19062,18262,199,315
"115","AR","Baxter County",41627,42875,349,801
"116","AR","Benton County",284333,311013,3908,2211
"117","AR","Boone County",37373,38530,406,526
"118","AR","Bradley County",10545,10104,118,154
"119","AR","Calhoun County",4739,4641,51,88
"120","AR","Carroll County",28260,28814,326,371
"121","AR","Chicot County",10208,9538,88,173
"122","AR","Clark County",21446,21274,239,289
"123","AR","Clay County",14552,14201,157,242
"124","AR","Cleburne County",24711,25445,223,427
"125","AR","Cleveland County",7550,7378,82,129
"126","AR","Columbia County",22801,22150,256,298
"127","AR","Conway County",20715,21077,228,298
"128","AR","Craighead County",111231,113993,1540,1091
"129","AR","Crawford County",60133,61891,727,779
"130","AR","Crittenden County",48163,47139,570,620
"131","AR","Cross County",16833,16420,183,265
"132","AR","Dallas County",6482,6185,57,120
"133","AR","Desha County",11395,10479,113,164
"134","AR","Drew County",17350,16945,193,226
"135","AR","Faulkner County",123498,129951,1468,1117
"136","AR","Franklin County",17097,17468,188,258
"137","AR","Fulton County",12075,12421,117,235
"138","AR","Garland County",100180,99784,970,1535
"139","AR","Grant County",17958,18383,184,258
"140","AR","Greene County",45736,46743,526,562
"141","AR","Hempstead County",20065,19343,214,281
