"","State","County","Poverty_All_Ages_2023","Poverty_Pct_All_Ages_2023","Poverty_0to17_2023","Rural_Urban_Code_2023"
"1","AL","Autauga County",7004,11.7,2363,2
"2","AL","Baldwin County",24942,10,7334,3
"3","AL","Barbour County",5585,25.5,1738,6
"4","AL","Bibb County",3870,19.4,910,1
"5","AL","Blount County",7590,12.8,2250,1
"6","AL","Bullock County",2779,33.6,791,8
"7","AL","Butler County",4263,23.6,1517,6
"8","AL","Calhoun County",22174,20.1,6923,3
"9","AL","Chambers County",5661,17.1,1814,6
"10","AL","Cherokee County",3949,15.6,966,8
"11","AL","Chilton County",7026,15.3,2355,1
"12","AL","Choctaw County",3017,24.8,854,9
"13","AL","Clarke County",4174,19,1386,9
"14","AL","Clay County",2337,16.9,726,9
"15","AL","Cleburne County",2432,15.8,769,8
"16","AL","Coffee County",9055,16.5,2769,4
"17","AL","Colbert County",8912,15.4,2507,3
"18","AL","Conecuh County",2920,26.5,961,9
"19","AL","Coosa County",1809,18.2,459,8
"20","AL","Covington County",6204,16.7,1863,6
"21","AL","Crenshaw County",2520,19.5,809,8
"22","AL","Cullman County",14081,15.5,4308,4
"23","AL","Dale County",8124,16.6,2525,4
"24","AL","Dallas County",11197,31.4,3819,4
"25","AL","DeKalb County",15494,21.6,4885,6
"26","AL","Elmore County",10562,12.5,3251,2
"27","AL","Escambia County",7331,21.3,2365,6
"28","AL","Etowah County",19921,19.6,5668,3
"29","AL","Fayette County",2542,16.2,743,8
"30","AL","Franklin County",7035,22.5,2703,6
"31","AL","Geneva County",5109,19.2,1575,3
"32","AL","Greene County",2255,31,735,2
"33","AL","Hale County",3383,23,1159,2
"34","AL","Henry County",2904,16.4,820,3
"35","AL","Houston County",17707,16.5,5982,3
"36","AL","Jackson County",8437,16,2099,6
"37","AL","Jefferson County",103120,16,31910,1
"38","AL","Lamar County",2217,16.4,685,8
"39","AL","Lauderdale County",12563,13.6,3063,3
"40","AL","Lawrence County",4710,14.2,1384,3
"41","AL","Lee County",31839,17.9,5610,3
"42","AL","Limestone County",9604,8.6,2795,2
"43","AL","Lowndes County",2799,29.4,894,2
"44","AL","Macon County",4712,28.8,1201,3
"45","AL","Madison County",41983,10.5,11793,2
"46","AL","Marengo County",4335,23.5,1369,6
"47","AL","Marion County",5415,19,1464,9
"48","AL","Marshall County",16432,16.5,5516,4
"49","AL","Mobile County",65684,16.3,23306,2
"50","AL","Monroe County",3627,19.1,1113,8
"51","AL","Montgomery County",39395,18.3,13820,2
"52","AL","Morgan County",14759,12,4799,3
"53","AL","Perry County",2501,33.8,823,8
"54","AL","Pickens County",3587,21.5,1049,2
"55","AL","Pike County",7364,23.8,2073,6
"56","AL","Randolph County",3508,15.9,1179,8
"57","AL","Russell County",10957,18.9,3785,2
"58","AL","St. Clair County",10089,10.8,2964,1
"59","AL","Shelby County",19207,8.4,4825,1
"60","AL","Sumter County",3607,33.5,1025,8
"61","AL","Talladega County",13329,17,3701,4
"62","AL","Tallapoosa County",6041,15.1,1797,6
"63","AL","Tuscaloosa County",41429,19.2,11299,2
"64","AL","Walker County",11099,17.5,3366,1
"65","AL","Washington County",2778,18.7,832,8
"66","AL","Wilcox County",3194,32.7,1049,9
"67","AL","Winston County",3855,16.6,1130,8
"68","AK","Aleutians East Borough",624,18,35,9
"69","AK","Aleutians West Census Area",492,10,20,9
"70","AK","Anchorage Borough",24807,8.9,6493,2
"71","AK","Bethel Census Area",5242,29.3,2295,7
"72","AK","Bristol Bay Borough",98,11.7,32,9
"73","AK","Chugach Census Area",570,8.7,116,9
"74","AK","Copper River Census Area",380,14.2,136,9
"75","AK","Denali Borough",123,7.8,33,9
"76","AK","Dillingham Census Area",1073,23.4,441,9
"77","AK","Fairbanks North Star Borough",7015,7.6,1751,3
"78","AK","Haines Borough",207,10,46,9
"79","AK","Hoonah-Angoon Census Area",390,17.2,101,9
